Platform,Category,Device Type,Device,CPU Score,GPU Score,MEM Score,UX Score,Total Score
Android,Performance,Pad,53Galaxy Tab A9+ 5G (S-695 8+128),243602,55885,109790,165470,574747
Android,Performance,Pad,54Galaxy Tab A9+ (S-695 4+64),247907,56816,104298,162042,571063
Android,Performance,Pad,55OPPO Pad SE (M-G100 4+128),212011,45831,143362,154572,555776
Android,Performance,Pad,56Redmi Pad (M-G99 6+128),209570,44578,128297,153278,535723
Android,Performance,Pad,57Galaxy Tab A9 (M-G99 4+64),223638,43506,112661,141236,521041
Android,Performance,Pad,58HONOR Pad X9a (S-680 6+128),190890,30119,146113,141965,509087
Android,Performance,Pad,59Lenovo Xiaoxin Pad 2024 (S-685 8+128),193755,29373,116377,115082,454587
Android,Performance,Pad,60Redmi Pad SE (S-680 8+256),176465,27522,97871,110061,411919
Android,Performance,Pad,61HONOR Pad X9 (S-680 4+128),178766,27907,82800,103369,392842
Android,Performance,Pad,62Redmi Pad SE 8.7 (M-G85 4+64),148541,27308,83830,102554,362233
Android,Performance,Pad,63Galaxy Tab S6 Lite Wi-Fi (E-9611 4+64),139724,27548,81073,86704,335049
Android,Performance,Pad,64HUAWEI MatePad SE 11 (S-685 6+128),130712,23257,106537,73806,334312
Android,Performance,Pad,65Galaxy Tab A7 (S-662 3+32),152724,23870,67264,73460,317318
